thirdMeshCode,大分類,企業数,従業員数,売上高,lowerLeft_lng,lowerLeft_lat,lowerRight_lng,lowerRight_lat,upperRight_lng,upperRight_lat,upperLeft_lng,upperLeft_lat,center_lng,center_lat
53342136,E_建設業,3,31,717,134.2,35.525,134.2125,35.525,134.2125,35.53333333,134.2,35.53333333,134.20625,35.52916666
53342136,G_卸・小売業，飲食店,4,18,605,134.2,35.525,134.2125,35.525,134.2125,35.53333333,134.2,35.53333333,134.20625,35.52916666
53342136,J_運輸・通信業,2,23,588,134.2,35.525,134.2125,35.525,134.2125,35.53333333,134.2,35.53333333,134.20625,35.52916666
53342136,L_サービス業,2,126,390,134.2,35.525,134.2125,35.525,134.2125,35.53333333,134.2,35.53333333,134.20625,35.52916666
53342144,E_建設業,1,2,233,134.175,35.53333333,134.1875,35.53333333,134.1875,35.54166667,134.175,35.54166667,134.18125,35.5375
53342144,F_製造業,1,41,972,134.175,35.53333333,134.1875,35.53333333,134.1875,35.54166667,134.175,35.54166667,134.18125,35.5375
53342144,G_卸・小売業，飲食店,10,153,5457,134.175,35.53333333,134.1875,35.53333333,134.1875,35.54166667,134.175,35.54166667,134.18125,35.5375
53342144,L_サービス業,2,86,3751,134.175,35.53333333,134.1875,35.53333333,134.1875,35.54166667,134.175,35.54166667,134.18125,35.5375
53342145,E_建設業,1,5,,134.1875,35.53333333,134.2,35.53333333,134.2,35.54166667,134.1875,35.54166667,134.19375,35.5375
53342145,J_運輸・通信業,2,33,393,134.1875,35.53333333,134.2,35.53333333,134.2,35.54166667,134.1875,35.54166667,134.19375,35.5375
53342146,E_建設業,1,,5,134.2,35.53333333,134.2125,35.53333333,134.2125,35.54166667,134.2,35.54166667,134.20625,35.5375
53342148,E_建設業,1,3,60,134.225,35.53333333,134.2375,35.53333333,134.2375,35.54166667,134.225,35.54166667,134.23125,35.5375
53342148,J_運輸・通信業,1,13,150,134.225,35.53333333,134.2375,35.53333333,134.2375,35.54166667,134.225,35.54166667,134.23125,35.5375
53342149,A_農業,1,2,23,134.2375,35.53333333,134.25,35.53333333,134.25,35.54166667,134.2375,35.54166667,134.24375,35.5375
53342149,E_建設業,1,2,71,134.2375,35.53333333,134.25,35.53333333,134.25,35.54166667,134.2375,35.54166667,134.24375,35.5375
53342158,G_卸・小売業，飲食店,2,17,930,134.225,35.54166667,134.2375,35.54166667,134.2375,35.55,134.225,35.55,134.23125,35.54583333
53342159,E_建設業,1,17,290,134.2375,35.54166667,134.25,35.54166667,134.25,35.55,134.2375,35.55,134.24375,35.54583333
53342223,F_製造業,1,12,135,134.2875,35.51666667,134.3,35.51666667,134.3,35.525,134.2875,35.525,134.29375,35.52083333
53342224,F_製造業,1,1,30,134.3,35.51666667,134.3125,35.51666667,134.3125,35.525,134.3,35.525,134.30625,35.52083333
53342240,E_建設業,1,7,127,134.25,35.53333333,134.2625,35.53333333,134.2625,35.54166667,134.25,35.54166667,134.25625,35.5375
53342240,J_運輸・通信業,1,25,240,134.25,35.53333333,134.2625,35.53333333,134.2625,35.54166667,134.25,35.54166667,134.25625,35.5375
53342251,F_製造業,1,20,255,134.2625,35.54166667,134.275,35.54166667,134.275,35.55,134.2625,35.55,134.26875,35.54583333
53342251,G_卸・小売業，飲食店,2,5,266,134.2625,35.54166667,134.275,35.54166667,134.275,35.55,134.2625,35.55,134.26875,35.54583333
53342252,G_卸・小売業，飲食店,1,2,95,134.275,35.54166667,134.2875,35.54166667,134.2875,35.55,134.275,35.55,134.28125,35.54583333
53342252,J_運輸・通信業,1,6,93,134.275,35.54166667,134.2875,35.54166667,134.2875,35.55,134.275,35.55,134.28125,35.54583333
53342256,A_農業,1,,39,134.325,35.54166667,134.3375,35.54166667,134.3375,35.55,134.325,35.55,134.33125,35.54583333
53342262,E_建設業,1,2,39,134.275,35.55,134.2875,35.55,134.2875,35.55833333,134.275,35.55833333,134.28125,35.55416666
53342269,A_農業,1,5,62,134.3625,35.55,134.375,35.55,134.375,35.55833333,134.3625,35.55833333,134.36875,35.55416666
53342269,F_製造業,1,3,25,134.3625,35.55,134.375,35.55,134.375,35.55833333,134.3625,35.55833333,134.36875,35.55416666
53342269,L_サービス業,1,10,154,134.3625,35.55,134.375,35.55,134.375,35.55833333,134.3625,35.55833333,134.36875,35.55416666
53342272,G_卸・小売業，飲食店,1,1,225,134.275,35.55833333,134.2875,35.55833333,134.2875,35.56666667,134.275,35.56666667,134.28125,35.5625
53342275,G_卸・小売業，飲食店,1,,30,134.3125,35.55833333,134.325,35.55833333,134.325,35.56666667,134.3125,35.56666667,134.31875,35.5625
